,plotid,center_lon,center_lat,shape,size_m,sample_points,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,Land Cover Elements:Water>irrigation ditch,Land Cover Elements:grass,Land Cover Elements:Water>rivers/stream,Land Cover Elements:Impervious Surface (no building),Land Cover Elements:Water>lake/ponded/container,Land Cover Elements:cultivated vegetation,Land Cover Elements:Bare Ground,Land Cover Elements:Building,Land Cover Elements:Water>treated pool,Land Cover Elements:Trees_CanopyCover,Land Cover Elements:unknown,Land Cover Elements:bush/scrub,Land Cover Elements:shadow,AOI Number
0,0,-122.051737904549,37.6364841062625,square,100.0,100,False,,1.0,2022-06-20 04:10,135.1 secs,,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,84.0,2.0,0
37,100,-74.5707535743714,40.6791572089396,square,100.0,100,False,,100.0,2022-06-20 00:04,8934.6 secs,,0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,10.0,1.0,61.0,0.0,6.0,6.0,1
38,101,-74.5855742911534,40.6679157043931,square,100.0,100,False,,87.0,2022-06-20 00:14,613.2 secs,,0,0.0,22.0,0.0,19.0,0.0,0.0,0.0,9.0,0.0,39.0,0.0,1.0,10.0,1
39,102,-74.5855742911534,40.6724123062117,square,100.0,100,False,,87.0,2022-06-20 00:22,445.2 secs,,0,0.0,30.0,0.0,26.0,0.0,0.0,0.0,6.0,0.0,24.0,0.0,2.0,12.0,1
40,103,-74.5855742911534,40.6769089080303,square,100.0,100,False,,85.0,2022-06-20 00:28,352.8 secs,,0,0.0,18.0,0.0,20.0,0.0,0.0,0.0,7.0,0.0,44.0,0.0,0.0,11.0,1
41,104,-74.5855742911534,40.6814055098489,square,100.0,100,False,,100.0,2022-06-20 00:33,327.2 secs,,0,0.0,28.0,0.0,16.0,0.0,0.0,0.0,6.0,0.0,34.0,0.0,2.0,14.0,1
42,105,-74.5855742911534,40.6859021116675,square,100.0,100,False,,90.0,2022-06-20 00:40,384.4 secs,,0,0.0,13.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,1
43,106,-74.5855742911534,40.6903987134862,square,100.0,100,False,,88.0,2022-06-20 00:47,421.4 secs,,0,0.0,27.0,0.0,4.0,2.0,0.0,0.0,6.0,1.0,51.0,0.0,1.0,8.0,1
44,107,-74.5796460044406,40.6679157043931,square,100.0,100,False,,86.0,2022-06-20 00:55,465.8 secs,,0,0.0,19.0,0.0,25.0,0.0,0.0,0.0,11.0,0.0,26.0,0.0,4.0,15.0,1
45,108,-74.5796460044406,40.6724123062117,square,100.0,100,False,,100.0,2022-06-20 01:01,335.9 secs,,0,0.0,39.0,0.0,26.0,0.0,0.0,0.0,4.0,0.0,18.0,0.0,8.0,5.0,1
46,109,-74.5796460044406,40.6769089080303,square,100.0,100,False,,100.0,2022-06-20 01:07,366.0 secs,,0,0.0,25.0,0.0,9.0,0.0,0.0,0.0,8.0,2.0,48.0,0.0,0.0,8.0,1
47,110,-74.5796460044406,40.6814055098489,square,100.0,100,False,,100.0,2022-06-20 01:14,418.6 secs,,0,0.0,23.0,0.0,12.0,0.0,0.0,0.0,9.0,2.0,44.0,0.0,4.0,6.0,1
48,111,-74.5796460044406,40.6859021116675,square,100.0,100,False,,82.0,2022-06-20 01:21,390.8 secs,,0,0.0,25.0,0.0,22.0,0.0,0.0,0.0,6.0,0.0,39.0,0.0,0.0,8.0,1
49,112,-74.5796460044406,40.6903987134862,square,100.0,100,False,,100.0,2022-06-20 01:25,267.0 secs,,0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,7.0,1
50,113,-74.5737177177277,40.6679157043931,square,100.0,100,False,,85.0,2022-06-20 02:53,600.9 secs,,0,0.0,5.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,2.0,14.0,1
51,114,-74.5737177177277,40.6724123062117,square,100.0,100,False,,86.0,2022-06-20 02:57,276.4 secs,,0,0.0,34.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,1
52,115,-74.5737177177277,40.6769089080303,square,100.0,100,False,,82.0,2022-06-20 03:02,288.4 secs,,0,0.0,30.0,0.0,19.0,0.0,0.0,0.0,8.0,0.0,31.0,0.0,6.0,6.0,1
53,116,-74.5737177177277,40.6814055098489,square,100.0,100,False,,89.0,2022-06-20 03:10,467.5 secs,,0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,8.0,2.0,36.0,0.0,3.0,22.0,1
54,117,-74.5737177177277,40.6859021116675,square,100.0,100,False,,100.0,2022-06-20 03:19,547.5 secs,,0,0.0,41.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,23.0,0.0,8.0,17.0,1
55,118,-74.5737177177277,40.6903987134862,square,100.0,100,False,,88.0,2022-06-20 03:22,172.2 secs,,0,0.0,5.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,1
56,119,-74.5677894310149,40.6679157043931,square,100.0,100,False,,93.0,2022-06-20 03:27,295.5 secs,,0,0.0,13.0,0.0,12.0,0.0,0.0,0.0,9.0,0.0,61.0,0.0,3.0,2.0,1
57,120,-74.5677894310149,40.6724123062117,square,100.0,100,False,,100.0,2022-06-20 03:31,277.6 secs,,0,0.0,23.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,52.0,0.0,0.0,12.0,1
58,121,-74.5677894310149,40.6769089080303,square,100.0,100,False,,84.0,2022-06-20 03:34,123.3 secs,,0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,80.0,0.0,0.0,9.0,1
59,122,-74.5677894310149,40.6814055098489,square,100.0,100,False,,90.0,2022-06-20 03:35,105.5 secs,,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,9.0,5.0,1
60,123,-74.5677894310149,40.6859021116675,square,100.0,100,False,,81.0,2022-06-20 15:31,370.6 secs,,0,0.0,16.0,0.0,14.0,0.0,0.0,0.0,5.0,0.0,53.0,0.0,0.0,12.0,1
61,124,-74.5677894310149,40.6903987134862,square,100.0,100,False,,100.0,2022-06-20 15:33,135.0 secs,,0,0.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,6.0,1
62,125,-74.5618611443021,40.6679157043931,square,100.0,100,False,,100.0,2022-06-20 15:37,225.9 secs,,0,0.0,22.0,0.0,11.0,0.0,0.0,54.0,4.0,0.0,5.0,0.0,4.0,0.0,1
63,126,-74.5618611443021,40.6724123062117,square,100.0,100,False,,81.0,2022-06-20 15:38,44.5 secs,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,91.0,0.0,0.0,6.0,1
74,200,-77.9830849616824,39.1522501418346,square,100.0,100,False,,100.0,2022-06-19 13:12,432.7 secs,,0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,41.0,0.0,3.0,0.0,0.0,8.0,2
75,201,-77.9975790045637,39.141008637288,square,100.0,100,False,,95.0,2022-06-19 13:16,76.7 secs,,0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2
76,202,-77.9975790045637,39.1455052391066,square,100.0,100,False,,60.0,2022-06-19 13:22,318.1 secs,,0,0.0,20.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,38.0,0.0,25.0,0.0,2
77,203,-77.9975790045637,39.1500018409253,square,100.0,100,False,,95.0,2022-06-19 13:24,120.5 secs,,0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,2
78,204,-77.9975790045637,39.1544984427439,square,100.0,100,False,,50.0,2022-06-19 13:30,360.2 secs,,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,20.0,17.0,2
79,205,-77.9975790045637,39.1589950445625,square,100.0,100,False,,95.0,2022-06-19 14:43,312.2 secs,,0,0.0,43.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,2
80,206,-77.9975790045637,39.1634916463811,square,100.0,100,False,,96.0,2022-06-19 14:49,348.2 secs,,0,0.0,51.0,0.0,31.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,7.0,2
81,207,-77.9917813874112,39.141008637288,square,100.0,100,False,,100.0,2022-06-19 14:50,64.2 secs,,0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
82,208,-77.9917813874112,39.1455052391066,square,100.0,100,False,,95.0,2022-06-19 14:55,8.6 secs,,0,0.0,53.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,22.0,0.0,5.0,10.0,2
83,209,-77.9917813874112,39.1500018409253,square,100.0,100,False,,95.0,2022-06-19 15:00,300.0 secs,,0,0.0,24.0,0.0,28.0,0.0,0.0,5.0,20.0,0.0,6.0,0.0,0.0,17.0,2
84,210,-77.9917813874112,39.1544984427439,square,100.0,100,False,,95.0,2022-06-19 15:04,263.8 secs,,0,0.0,30.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,45.0,0.0,4.0,4.0,2
85,211,-77.9917813874112,39.1589950445625,square,100.0,100,False,,85.0,2022-06-19 15:11,394.0 secs,,0,0.0,21.0,0.0,12.0,0.0,0.0,14.0,0.0,0.0,24.0,0.0,15.0,14.0,2
86,212,-77.9917813874112,39.1634916463811,square,100.0,100,False,,90.0,2022-06-19 15:16,315.9 secs,,0,0.0,39.0,0.0,23.0,0.0,2.0,2.0,0.0,0.0,17.0,0.0,14.0,3.0,2
87,213,-77.9859837702587,39.141008637288,square,100.0,100,False,,100.0,2022-06-19 15:19,142.4 secs,,0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,38.0,0.0,0.0,16.0,2
88,214,-77.9859837702587,39.1455052391066,square,100.0,100,False,,75.0,2022-06-19 15:25,385.3 secs,,0,0.0,44.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0,20.0,1.0,2.0,22.0,2
89,215,-77.9859837702587,39.1500018409253,square,100.0,100,False,,95.0,2022-06-19 15:31,7.6 secs,,0,0.0,29.0,0.0,7.0,0.0,0.0,10.0,5.0,0.0,15.0,0.0,1.0,33.0,2
90,216,-77.9859837702587,39.1544984427439,square,100.0,100,False,,95.0,2022-06-19 15:35,260.4 secs,,0,0.0,23.0,0.0,36.0,0.0,0.0,0.0,18.0,0.0,11.0,0.0,0.0,12.0,2
91,217,-77.9859837702587,39.1589950445625,square,100.0,100,False,,94.0,2022-06-19 18:32,296.1 secs,,0,0.0,21.0,0.0,9.0,0.0,0.0,0.0,19.0,0.0,34.0,1.0,0.0,16.0,2
92,218,-77.9859837702587,39.1634916463811,square,100.0,100,False,,95.0,2022-06-19 18:37,292.2 secs,,0,0.0,30.0,0.0,21.0,0.0,0.0,0.0,29.0,0.0,4.0,0.0,0.0,16.0,2
93,219,-77.9801861531061,39.141008637288,square,100.0,100,False,,95.0,2022-06-19 18:41,294.6 secs,,0,0.0,19.0,0.0,15.0,0.0,0.0,0.0,34.0,0.0,10.0,0.0,0.0,22.0,2
94,220,-77.9801861531061,39.1455052391066,square,100.0,100,False,,84.0,2022-06-19 18:45,223.5 secs,,0,0.0,58.0,0.0,4.0,0.0,0.0,18.0,0.0,0.0,13.0,0.0,0.0,7.0,2
95,221,-77.9801861531061,39.1500018409253,square,100.0,100,False,,95.0,2022-06-19 18:50,263.2 secs,,0,0.0,15.0,0.0,29.0,0.0,0.0,0.0,26.0,0.0,10.0,0.0,0.0,20.0,2
96,222,-77.9801861531061,39.1544984427439,square,100.0,100,False,,86.0,2022-06-19 18:54,253.9 secs,,0,0.0,17.0,0.0,9.0,0.0,0.0,0.0,18.0,0.0,36.0,0.0,2.0,18.0,2
97,223,-77.9801861531061,39.1589950445625,square,100.0,100,False,,95.0,2022-06-19 18:59,306.4 secs,,0,0.0,3.0,0.0,63.0,0.0,0.0,0.0,15.0,0.0,9.0,0.0,0.0,10.0,2
98,224,-77.9801861531061,39.1634916463811,square,100.0,100,False,,100.0,2022-06-19 19:01,136.5 secs,,0,0.0,7.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,32.0,0.0,0.0,4.0,2
99,225,-77.9743885359536,39.141008637288,square,100.0,100,False,,95.0,2022-06-19 19:06,263.4 secs,,0,0.0,29.0,0.0,14.0,0.0,0.0,4.0,3.0,0.0,27.0,0.0,4.0,19.0,2
100,226,-77.9743885359536,39.1455052391066,square,100.0,100,False,,90.0,2022-06-19 19:11,317.9 secs,,0,0.0,45.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,15.0,0.0,14.0,11.0,2
101,227,-77.9743885359536,39.1500018409253,square,100.0,100,False,,85.0,2022-06-19 19:16,309.6 secs,,0,0.0,32.0,0.0,8.0,0.0,0.0,0.0,30.0,0.0,4.0,0.0,0.0,26.0,2
